city,URL,title,date,time,venue,details,user,tags,Rank
champaign,https://www.eventbrite.com/e/dangerous-ideas-on-campus-by-matthew-ehrlich-tickets-442358184237?aff=ebdssbdestsearch,"""Dangerous Ideas On Campus"" by Matthew Ehrlich",12/15/2022,7:00 PM – 8:00 PM CST,"Champaign Public Library 200 West Green Street Champaign, IL 61820","From the publisher:
""In 1960, University of Illinois professor Leo Koch wrote a public letter condoning per-marital sex. He was fired. Four years later, a professor named Revilo Oliver made white supremacist remarks and claimed there was a massive communist conspiracy. He kept his job. 
Matthew C. Ehrlich revisits the Koch and Oliver cases to look at free speech, the legacy of the 1960s (in Champaign County), and debates over sex and politics on campus. The different treatment of the two men marked a fundamental shift in the understanding of academic freedom. Their cases also embodied the stark divide over beliefs and values-a divide that remains today. Ehrlich delves into the issues behind two academic controversies and places events in the context of a time rarely associated with dissent, but in fact a harbinger of the social and political upheavals to come""
This lecture will be held at 7PM in the Robeson Pavilion Room C at the Champaign Public Library. 
",Champaign County History  Museum,"['United States Events', 'Illinois Events', 'Things to do in Champaign, IL', 'Champaign Other', 'Champaign Community Other', '#history']",11
champaign,https://www.eventbrite.com/e/horse-carriage-rides-at-mistletoe-market-sponsored-by-central-roofing-tickets-467691496857?aff=ebdssbdestsearch,Horse & Carriage Rides at Mistletoe Market sponsored by Central Roofing,12/18/2022,12:00 PM – 4:00 PM CST,"The Venue CU 51 East Main Street Champaign, IL 61820","Enjoy the sights of the season on a horse & carriage ride in Champaign's downtown this holiday season! Rides are perfect for a family or household. Each ride is for a group: a total of 4 average adults, children welcome. Lap children or kids under 2 years-old must be held. One ticket covers one ride for whole family or household per time slot. 
The rides start and end at the Venue CU (51 E Main St) in downtown Champaign. The ride is approximately 10 minutes long plus time for photos with the horse and carriage driver. Parking at meters are free on weekends.
Thanks to Central Roofing for sponsoring Horse & Carriage Rides during the Mistletoe Market.
Advance tickets secure your spot. Walk-ups (no reservations) will also be available at $40 per ride, cash only.
",Champaign Center Partnership,"['United States Events', 'Illinois Events', 'Things to do in Champaign, IL', 'Champaign Attractions', 'Champaign Holiday Attractions', '#horses', '#holidays', '#holidayshopping', '#carriagerides']",12
champaign,https://www.eventbrite.com/e/new-years-eve-2022-joes-tickets-474193444357?aff=ebdssbdestsearch,New Year's Eve 2022 @ Joe's,12/31/2022,"Sun, Jan 1, 2023, 2:00 AM CST","706 S 5th St 706 South 5th Street Champaign, IL 61820","Ring in 2023 with the best drink specials and 2022's best music in one of our 4 unique areas.  Your ticket includes $2  Bombs & $2 well drinks from 9pm-2am.  Save money by buying early and with our group ticket packages.  You can also upgrade with our express entry tickets for only a few dollars more to avoid spending any of your remaining 2022 time in the cold in line.
",Joe's Brewery,"['United States Events', 'Illinois Events', 'Things to do in Champaign, IL', 'Champaign Parties']",13
champaign,https://www.eventbrite.com/e/dark-history-horror-con-presents-christmas-carnage-tickets-465398779277?aff=ebdssbdestsearch,Dark History & Horror Con presents: Christmas Carnage,12/3/2022,10:00 AM – 6:00 PM CST,"Savoy Recreation Center 402 Graham Drive Savoy, IL 61874","A Christmas event like no other. Horror con, vendor event, live wrestling show.....
S?hop unique vendors, meet professional wrestlers and a MMA personality. See a live wrestling show including a championship match.
",Dark History & Horror Con,"['United States Events', 'Illinois Events', 'Things to do in Savoy, IL', 'Savoy Expos', 'Savoy Other Expos', '#horror', '#vendors', '#mma', '#professionalwrestling', '#vendorshow', '#horrorconvention']",14
champaign,https://www.eventbrite.com/e/chicago-farmer-the-fieldnotes-two-years-eve-1230-1231-tickets-442982481527?aff=ebdssbdestsearch,Chicago Farmer & The Fieldnotes' Two Year's Eve - 12/30 & 12/31,12/30/2022,,"Rose Bowl Tavern 106 North Race Street #1 Urbana, IL 61801","Doors @ 7:30pm
Show @ 8pm
Tickets $15 Advance/$20 Day-of

Doors @8pm
Show @ 9pm
Tickets $20 Advance/$25 Day-of
-?---------------------------------------------------------------------------------------------------------
P?lease note:
-? No refunds on ticket purchases
-? Limited seating is available on a first come first serve basis (no reserved seating)
-? The advance ticket prices are as follows: Friday, 12/30, is $15. Saturday, 12/31, is $20. A 2-day pass is $30.

",Rose Bowl Tavern,"['United States Events', 'Illinois Events', 'Things to do in Urbana, IL', 'Urbana Performances', 'Urbana Music Performances', '#concert', '#folk', '#songwriter', '#livemusic', '#americana', '#songwriting', '#folk_music']",15
champaign,https://www.eventbrite.com/e/japanese-tea-ceremony-tickets-396696518967?aff=ebdssbdestsearch,Japanese Tea Ceremony,9/7/2022,"Wed, Dec 7, 2022, 6:30 PM CDT","Japan House 2000 South Lincoln Avenue Urbana, IL 61802","
There are many different variations of this revered 500-year-old art form. Traditionally, guests sit in the seiza posture on the tatami mats (kneeling with legs folded underneath and resting on the heels). There is also a variety of tea ceremony in which one sits on a chair while drinking the tea called Ry?rei style, or table-style tea ceremony.
Historically in Japan, people didn't use chairs. They sat on the floor for most everything, even to eat meals. The Ry?rei style of tea ceremony was created by Gengensai Seich? (1810-1877), the 11th head of the Urasenke school of tea ceremony, for an exposition held in 1872 in Kyoto. Many foreigners visited Japan at this time, so the government requested that an effort be made to modify the traditional form of tea ceremony as a way of making it more accessible.
The main feature of Ry?rei style is that both host and guests sit on a chair. The seiza posture is no longer used, but utensils are used in the same way as in a normal tea ceremony. Although this one aspect of the ceremony is altered, the Ry?rei style is otherwise the same as a tea ceremony performed using the seiza posture. Even Japanese people, who use the seiza posture much less than in the past, embrace the Ry?rei style of tea ceremony because it places less of a burden on the legs.
We will be alternating weekly between Ry?rei, (sitting on chairs), and sitting traditionally on tatami mats.
Ry?rei style - Seated on chairs
Seated on Tatami mats
__________
What To Expect
After a brief tour that includes history of Japan House on the campus of the University of Illinois and information on the tea ceremony, watch as the host carefully and thoughtfully prepares each piece of equipment, chosen specifically for that day and season. Each guest will be served wagashi, a traditional seasonal Japanese sweet, and matcha tea in a unique handmade chawan, or tea bowl. Experience a moment of peace.
Afterward, there will be time for guests to ask questions, as well as to shop from a wall of unique Japanese-inspired treasures that are part of our annual Bazaar sale. Cash and credit cards accepted.
Tea ceremonies will feature a variety of special handmade sweets, or wagashi, using recipes from the cookbook ""The Art of Wagashi: Recipes for Japanese Sweets that Delight the Palate and the Eyes"" written by Japan House Professor Emeritus Kimiko Gunji. The cookbook will be available for purchase.
Reservations are required, no walk-in’s will be allowed. Space is limited to 15.
All guests will be asked to remove shoes upon entering, and to wear fresh, white socks (we have some to lend you if you forget). We ask that legs be covered as is traditional in Japan. 
Out of respect for both the tea students and the other guests, we kindly ask that everyone wear a mask while not eating or drinking.
__________
",Japan House,[],16
champaign,https://www.eventbrite.com/e/lunch-with-santa-on-the-train-2022-tickets-417082473907?aff=ebdssbdestsearch,Lunch With Santa On The Train 2022,12/3/2022,,"Monticello Railway Museum Wabash Depot 200 E Livingston St Monticello, IL 61856","
How much do tickets cost?
Coach Tickets are $20 per person.  On the Saturday 1:00 pm train, and Sunday 11:15 and 1:00 pm trains, $180 for dining car service for a table of up to four people.
Who needs a ticket?
Anyone 2 and older will need a ticket. Those under 2 are required to sit on a lap, and will not receive a sack lunch without buying a ticket.
Where are my tickets?
Your tickets will be ready for pick-up at the Monticello Railway Museum's Wabash Depot in downtown Monticello (corner of Livingston and Independence) on the day of your train. Please arrive at least 30 minutes before your departure time to ensure time to pick up tickets and board the train. Tickets will not be mailed.
How long is the train ride?
The ride is about an hour long.
Will my child get to meet Santa personally?
Santa will visit individually with each child during the train ride.
What is in the lunch?
Coach tickets receive lunch for a kid – a peanut butter and jelly sandwich, chips, and drink. Everyone with a coach ticket receives a lunch. Cheese sandwiches are available on request for those with allergies.  Dining car tickets receive a turkey subway sandwich, chips, cookie, and bottle of water for each rider, as well as a commemorative keepsake and one digital photo from a professional photographer.
What about restrooms?
There are no restrooms on the train. Plan to use the restrooms at the boarding site (Wabash Depot) before the train ride.
",Monticello Chamber of Commerce,"['United States Events', 'Illinois Events', 'Things to do in Monticello, IL', 'Monticello Attractions', 'Monticello Holiday Attractions', '#kids', '#christmas', '#santa', '#train', '#railroad']",17
champaign,https://www.eventbrite.com/e/christmas-wine-glass-decorating-tickets-440015697797?aff=ebdssbdestsearch,Christmas Wine Glass Decorating,12/1/2022,5:30 PM – 7:30 PM CST,"Alto Vineyards Champaign 4210 North Duncan Road Champaign, IL 61822",,Alto Vineyards Champaign,[],18
champaign,https://www.eventbrite.com/e/holiday-cookie-decorating-with-amy-amy-tickets-467298441217?aff=ebdssbdestsearch,Holiday Cookie Decorating with Amy & Amy,12/4/2022,,"Yellow & Co. 604 East Main Street #suite c Mahomet, IL 61853","J?oin us for a Christmas Cookie Decorating Class just in time to hone your skills for the holiday season! In this class you will learn how to use Royal Icing to pipe and fill cookies. You will also learn wet-on-wet, lettering, and piping detail. You will decorate 6 cookies to take home.
Class fee is $45.  This is a two hour event. 
1?0:00am  session will be blue/grey set of cookies
2?:00pm session will be  red/green set of cookies
Spend a creative time with friends and/or family decorating cookies! It is sure to be a great time!
**?*Ages 13 and up
Drinks are available for purchase on site. 
MASK POLICY -  Masks are not be required. Our staff is fully vaccinated.
*payment will be reflected as chicpaint@gmail.com PLEASE READ OUR CANCELLATION POLICY! To request a refund, you must request prior to 48 hours before the class, otherwise you will be given a rain check to use for a different party. NO REFUNDS OR RAINCHECKS will be given for no shows or requests made AFTER the party. Classes may be subject to cancellation based on the number of enrollments. To request a refund, please email us at paintlikemeparty@gmail.com 
Yellow World LLC disclaims any and all liability for  accidents or injuries arising out of its activities, or arising out of the activities of its customers. Therefore, in consideration of participating in the activities of Paint Like Me Party, Yellow and Co. or Yellow World LLC, attendees do hereby agree to indemnify and hold harmless Yellow World LLC, Yellow and Co. and Paint Like Me Party, its proprietors and employees, and any guest speakers, instructors or artists for any loss, cost and expense incurred as the result of their conduct, whether on or off the premises.
Paint Like ME  Party & Yellow and Co. brought to you by Yellow World LLC.
Click here for all of our open parties! 
",Yellow & Co. Events,"['United States Events', 'Illinois Events', 'Things to do in Mahomet, IL', 'Mahomet Classes', 'Mahomet Hobbies Classes', '#wine', '#boutique', '#familyfun', '#momandme', '#cookiesdecorating', '#cookieworkshop', '#holidaycookies', '#centralillinois', '#girlfriends_events', '#momandchild']",19
champaign,https://www.eventbrite.com/e/the-slaps-friko-w-ship-of-fools-tickets-449378532287?aff=ebdssbdestsearch,THE SLAPS + FRIKO w/ Ship of Fools,12/3/2022,,"Rose Bowl Tavern 106 North Race Street #1 Urbana, IL 61801","18+ to enter | 21+ to drink
T?HE SLAPS
At its core, Tomato Tree by The Slaps is an exercise in patience that seamlessly showcases the virtues of experimentation. Composed of guitarist/vocalist Rand Kelly, bassist/vocalist Ramsey Bell, and percussionist/vocalist Josh Resing, the band’s latest collection of songs is an achievement – a document of deepening friendship and their collective and personal advancements in artistic maturity. 
Though the band formed out of a chance meeting at a party in 2016 during their first year of college at DePaul University, The Slaps are bound together by a spirit of pastoral music making – the notion that collaboratively using the available resources can produce stunning results. 
“It’s been about trust – it starts with each other. We trust each other so much. We trust each other to live in different places and keep this thing going,” says Resing, referencing Bell and Kelly’s recent move from Chicago back to their homes in Lexington, Kentucky. “You can’t do that with just anybody.”
Despite Tomato Tree sounding effortless, the record was pieced together meticulously from June 2020 to April 2021 at Pallet Sound in Chicago with assistance from engineer Michael MacDonald. Certain tracks (like the bright-but-distorted instrumental “Fire on Fire”) were finessed during marathon rehearsal sessions whereby a song was played for nearly five hours straight before committing the tracks to record. 
From their inception, many of the songs on Tomato Tree (such as “Around,” “Powder,” “It’s Dense,” and “Iron Bone”) took between two and four years to produce, undergoing significant changes while being rehearsed and performed in clubs around Chicago where the band developed their following. “We’ve never put any pressure at all on ourselves to finish a song,” says Bell of the process behind Tomato Tree. 
Through several years of writing and arranging, the band stresses that being patient allowed the songs to manifest in ways they wouldn’t if the process were rushed. “A lot of what contributed to timing and what it took to complete the album was unintentional – it was a matter of individual and personal circumstance,” says Kelly as he references the pandemic, a move across the country to Washington, and other factors that contributed to the length of time taken to produce the record. This reliance on grappling with context allowed the band to hone in on their ability to execute the songs in concert, which has proven to bring new fans into the fold whenever the band tours. 
This emphasis on performance – on the unmediated expression of music from artist to audience in a live setting – has been, and always will be, a central component of The Slaps’ ethos. It’s perhaps no surprise that the lyrics for album’s opener, “Anything For Now,” meditates on mosh pits and music venues. “The trust component is in the live show, too. We’re comfortable going into the unknown on stage with one another,” says Resing. “It’s exciting to us – not scary,” he adds. 
While certainly a more fully-realized record than their previous affairs, Tomato Tree does contain sequels of sorts to previously-released material while also pointing toward new directions that The Slaps promise to explore later. “Around” is the completion of a trilogy, a bookend to the previously released songs “Will Have Been Being Around” from 2017’s Susan’s Room and “Being Around” from 2019’s A. Those songs comprise a three-part reflection on love, an arc that, according to Resing, moves from “specific, personal” moments of heartbreak to “something more universal and general” found on “Around.”
Tomato Tree’s short-but-sprawling closing track “Somber Slumber” is, to put it in the words of the band, “a work in progress” – at least in the sense that there’s already been a Part II for the song written that will soon be recorded for Tomato Tree’s follow-up. Other offerings, like the synth-laden “Hell No” and the instrumental “Autotelic” found midway through the album, index the band’s ability to creatively bring programmed sounds into the fold, blending Bell and Resing’s interest in electronic music with The Slaps’ typical organic soundscapes.
This spirit of collaboration and refinement found throughout Tomato Tree extends beyond the three members of the band. The first voice on the record is that of Lunar Vacation’s Maggie Geeslin (who Resing calls “a light in a dark world”) and “Anything For Now” also includes “audio donations” from the band’s fans and family gathered during the early months of the pandemic. Originally intended to soften the pangs of loneliness created by social distancing, these recordings became an outlet for The Slaps to fuse their interest in sampling with their latest project.
“With the live set, we’re always trying to break down this barrier of the audience thinking that we’re performing for them,” says Bell of the band’s irreverence toward artists being placed on a pedestal above their audiences. “We want to bring them into the album and into our performances as much as possible.”
Although The Slaps have a discography that predates Tomato Tree, the band insists that their latest offering is their first proper full-length album. “This is the most time we’ve spent on produced music,” says Kelly of the completed product that is the record. “This is what we wanted,” adds Resing. “I feel like we did exactly what we set out to do.”
F?RIKO
Fans know Friko (Bailey Minzenberger, Luke Stamos, and frontman Niko Kapetan) as vital rising stars in the Chicago scene. The music, which freelancer Britt Julious described as “perfect slices of indie-pop” in the Chicago Tribune last January, is complex, layered, and dynamic. Over the band's time together, it has become clear they are comfortable embracing multiple musical extremes at once. Take a listen to the explosive and hypnotic beat of ""In_Out"" off their self managed 2022 EP release, Whenever Forever, and juxtapose it against the serene, strings soaked tracks that follow, ""Half as Far"" and ""Can I See U Again."" It becomes even more pronounced in live performance, where a frenzied floor, grinding with wailing guitars and animation, in the very next minutes finds itself collectively holding its breath silently as the band eases them into a spell. Lyrically, Kapetan explores the possibility and risks of a life given over to music, interrogating what a life well-lived means to him. The duality rings out in the compositions, evoking rock and folk icons such as Leonard Cohen and Nick Drake. As Friko plays out sweeping melodies, held up by thrashing guitar and punchy beats, it feels as if Kapetan sings to you. Crooning about stories you know, memories you had but have somehow forgotten.
The band is planning tour dates, and is near completion of what is to become the core of a new full length album. 
",PYGMALION,"['United States Events', 'Illinois Events', 'Things to do in Urbana, IL', 'Urbana Performances', 'Urbana Music Performances', '#concert', '#urbana', '#livemusic', '#champaign', '#theslaps', '#rosebowltavern', '#friko']",20
champaign,https://www.eventbrite.com/e/how-to-save-and-fix-your-relationshipmarriage-free-webinar-champaign-tickets-407197658157?aff=ebdssbdestsearch,How To Save And Fix Your Relationship/Marriage (FREE Webinar) Champaign,8/28/2022,"Sun, Dec 25, 2022, 6:30 PM CDT","Champaign Via Zoom https://us02web.zoom.us/j/8547870302 Champaign, IL 61820","If you are having any of these problems in your Relationship/Marriage, Keep Reading.
I have 10 years of experience studying Relationships and the psychology of men and women. And Spirituality 
For the past 2 years I have done over 1540 plus Virtual Live Events and had over 900 people in the past 6 months in my Live Events which I help gained clarity to save and fix their relationship/marriage.
So get your ticket Now to my (FREE Webinar) To Discover How Reignite your Relationship back to the Honeymoon phase Forever in just 4 Steps Using my proven 4R's Dating System. By
Get your Ticket Now It's only 10 tickets left for your city, Put the date on your calendar  and add your phone number to be notify so you do not miss the (FREE Webinar Sunday).
",Coach Marckenson,"['United States Events', 'Illinois Events', 'Things to do in Champaign, IL', 'Champaign Classes', 'Champaign Family & Education Classes', '#relationships', '#marriage', '#relationship_help', '#relationship_advice', '#marriage_counseling', '#marriage_coaching', '#marriage_retreat', '#marriage_help', '#marriage_seminar', '#relationships_counselling']",21
champaign,https://www.eventbrite.com/e/emerging-tech-tickets-471380761547?aff=ebdssbdestsearch,Emerging Tech,12/11/2022,2:00 PM – 4:30 PM CST,"Groom Culture 202 East Green Street Champaign, IL 61820","This workshop will cover the following topics:
•	Blockchain, non-fungible tokens (NFTs), cryptocurrency, and Web3 technology.
•	Opening a wallet.
•	Minting and creating your first NFT.
•	Implications of new technology adoption, including training needs, and cultural implications.
Brunch while learning about the blockchain community in your community while building community in real life (IRL). Get a better understanding of what and how to mint an NFT and POAP in this interactive event.  
Brunch and Networking will begin at 2:00 – 2:30 p.m.   
Experience Groom Culture in the Tower Club by TowerDogz NFT metaverse space and participate in the $100 metaverse scavenger hunt giveaway.
Please consider donating to bring more events to the community like this.  If you would like to be a sponsor please contact us.
Our workshop aims to bring together community members, young and old, interested in discussing and learning current information about blockchain technology. Ask the burning questions about this emerging technology and its possibilities.  
Limited space is available. Secure your spot today!

",KidAlytics,"['United States Events', 'Illinois Events', 'Things to do in Champaign, IL', 'Champaign Classes', 'Champaign Science & Tech Classes', '#family', '#education', '#community', '#technology', '#youth', '#blockchain', '#stem', '#cryptocurrency', '#metaverse', '#nft']",22
